source_file,source_group,segment_index,start_seconds,duration_seconds,cluster
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,93,465.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,94,470.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,95,475.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,96,480.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,97,485.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,98,490.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,99,495.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,100,500.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,101,505.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,102,510.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,103,515.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,104,520.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,105,525.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,106,530.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,107,535.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,108,540.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,109,545.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,110,550.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,111,555.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,112,560.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,113,565.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,114,570.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,115,575.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,116,580.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,117,585.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,118,590.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,119,595.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,120,600.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,121,605.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,122,610.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,123,615.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,124,620.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,125,625.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,126,630.0,5.0,1
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,127,635.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,128,640.0,5.0,0
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,129,645.0,5.0,2
C:\Users\Chris Boddy\OneDrive\Documents\Cyber Security and Digital Forensics MSc\Applications of Artificial Intelligence in Cyber Security\Assessment\project\data\large_combined\combined\combined.wav,combined,130,650.0,5.0,1
